Seriousness,Help_Seeking,Blame,ED_Recognition,Diagnosis_Assigned,Gender,Age,Ethnicity,Education_Level,ED_Personal ,ED_CloseOther,ED_Training ,Body_Condition
Strongly Agree,Definitely Yes,Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Female,20,White,Some University but no degree,Yes,Yes,No,3
Agree,Definitely Yes,Disagree,Definitely Yes,An eating disorder (not anorexia/bulimia),Female,21,Black/African/Caribbean,Some University but no degree,Yes,No,No,2
Strongly Agree,Definitely Yes,Disagree,Definitely Yes,An eating disorder (not anorexia/bulimia),Female,21,Black/African/Caribbean,Some University but no degree,Yes,No,No,4
Agree,Probably Yes,Disagree,Not Sure,Not sure,Female,20,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Vocational or Similar,No,Yes,No,1
Agree,Probably Yes,Strongly Disagree,Probably Yes,Low self-esteem,Female,24,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",University Bachelors Degree,Yes,Yes,Yes,2
Agree,Definitely Yes,Disagree,Definitely Yes,An eating disorder (not anorexia/bulimia),Female,19,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Some University but no degree,Yes,Yes,Yes,4
Disagree,Probably Yes,Neither Agree Nor Disagree,Probably Yes,Low self-esteem,Female,20,Black/African/Caribbean,Vocational or Similar,No,No,Yes,3
Agree,Definitely Yes,Disagree,Probably Yes,Low self-esteem,Female,19,Black/African/Caribbean,Completed Secondary School,No,No,Yes,3
Agree,Probably Not,Agree,Probably Not,Stress,Male,21,White,Some University but no degree,No,No,Yes,4
Neither Agree nor Disagree,Probably Yes,Disagree,Definitely Yes,Low self-esteem,Female,20,Other (Arab or any others),Some University but no degree,No,No,No,1
Agree,Definitely Yes,Strongly Disagree,Definitely Yes,Anorexia nervosa,Female,45,White,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Yes,Yes,No,2
Agree,Probably Yes,Disagree,Not Sure,Low self-esteem,Male,48,White,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",No,No,No,4
Agree,Probably Yes,Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Male,69,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)","Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",Yes,Yes,No,3
Disagree,Probably Not,Neither Agree Nor Disagree,Probably Not,Poor diet,Male,19,White,Completed Secondary School,No,Yes,No,4
Strongly Disagree,Probably Yes,Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Male,23,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Completed Secondary School,Yes,No,Yes,3
Agree,Definitely Yes,Neither Agree Nor Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Male,21,Black/African/Caribbean,Some University but no degree,No,No,No,2
Strongly Agree,Definitely Yes,Disagree,Probably Yes,Low self-esteem,Female,22,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Some University but no degree,Yes,No,No,1
Neither Agree nor Disagree,Probably Not,Agree,Probably Not,Not sure,Male,20,White,Some University but no degree,No,No,No,3
Agree,Probably Yes,Neither Agree Nor Disagree,Probably Yes,Not sure,Female,19,Black/African/Caribbean,Completed Secondary School,No,No,No,1
Agree,Probably Yes,Disagree,Probably Yes,Low self-esteem,Female,19,White,Some University but no degree,Yes,No,No,2
Strongly Agree,Definitely Yes,Strongly Disagree,Probably Yes,Anorexia nervosa,Female,21,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Completed Secondary School,Yes,Yes,Yes,3
Strongly Disagree,Definitely Not,Strongly Disagree,Definitely Not,Not sure,Female,20,Other (Arab or any others),Some University but no degree,No,Yes,No,2
Disagree,Probably Yes,Disagree,Probably Yes,Low self-esteem,Female,20,White,Some University but no degree,Yes,Yes,No,4
Agree,Probably Yes,Disagree,Probably Yes,Low self-esteem,Female,19,"White,Mixed two or more ethnic groups",Some University but no degree,Yes,Yes,Yes,1
Agree,Probably Yes,Neither Agree Nor Disagree,Probably Yes,Anorexia nervosa,Male,35,White,University Bachelors Degree,No,No,No,2
Agree,Probably Yes,Neither Agree Nor Disagree,Probably Yes,Low self-esteem,Female,34,White,University Bachelors Degree,No,Yes,Yes,3
Neither Agree nor Disagree,Probably Not,Neither Agree Nor Disagree,Not Sure,Not sure,Female,19,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Completed Secondary School,No,No,No,2
Neither Agree nor Disagree,Probably Yes,Neither Agree Nor Disagree,Not Sure,Not sure,Female,19,Black/African/Caribbean,Some University but no degree,No,No,No,2
Agree,Probably Yes,Disagree,Probably Yes,Low self-esteem,Female,21,White,Some University but no degree,No,Yes,Prefer not to say,4
Agree,Probably Yes,Disagree,Definitely Yes,An eating disorder (not anorexia/bulimia),Female,19,Mixed two or more ethnic groups,Some University but no degree,Yes,Yes,No,3
Strongly Agree,Definitely Yes,Strongly Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Female,19,Mixed two or more ethnic groups,Some University but no degree,No,Yes,No,1
Neither Agree nor Disagree,Not Sure,Neither Agree Nor Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Male,21,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Completed Secondary School,No,Yes,No,2
Neither Agree nor Disagree,Not Sure,Disagree,Probably Not,Anorexia nervosa,Female,21,Black/African/Caribbean,Some Secondary,No,No,No,3
Strongly Agree,Definitely Yes,Agree,Definitely Yes,An eating disorder (not anorexia/bulimia),Female,19,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",Some University but no degree,No,No,No,1
Disagree,Not Sure,Agree,Probably Not,An eating disorder (not anorexia/bulimia),Female,19,"Asian (Indian, Pakistani, Bangladeshi, Chinese, any other Asian background)",University Bachelors Degree,No,No,No,4
Strongly Disagree,Definitely Yes,Strongly Disagree,Probably Yes,An eating disorder (not anorexia/bulimia),Female,33,White,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS)",No,Yes,No,4
Agree,Probably Yes,Strongly Disagree,Definitely Yes,Anorexia nervosa,Female,20,Other (Arab or any others),Some University but no degree,No,Yes,No,2
Neither Agree nor Disagree,Definitely Yes,Disagree,Definitely Yes,An eating disorder (not anorexia/bulimia),Male,20,Mixed two or more ethnic groups,Some University but no degree,No,No,Yes,3
